1,1,1,1,2,"Tipo de registro","2","2"
2,2,7,6,2,"Periodo","str(self.umbral.year) + str(self.umbral.month).zfill(2)","None"
3,8,20,13,9,"Relleno","None","None"
4,21,28,8,2,"Cantidad de registros de tipo 1","len(self.listas['comprobantes'])","None"
5,29,45,17,9,"Relleno","None","None"
6,46,56,11,2,"CUIT del informante","self.variables.cuit","None"
7,57,78,22,9,"Relleno","None","None"
8,79,93,15,2,"Importe total de la operación","self.importe([c.imp_total for c in self.listas['comprobantes']])","None"
9,94,108,15,2,"Importe total de conceptos que no integran el precio neto gravado","self.importe([c.imp_tot_conc for c in self.listas['comprobantes']])","None"
10,109,123,15,2,"Importe neto gravado","self.importe([c.imp_neto for c in self.listas['comprobantes']])","None"
11,124,138,15,2,"Impuesto liquidado","self.importe([c.impto_liq for c in self.listas['comprobantes']])","None"
12,139,153,15,2,"Impuesto liquidado a RNI o percepción a no categorizados","self.importe([c.impto_liq_rni for c in self.listas['comprobantes']])","None"
13,154,168,15,2,"Importe de operaciones exentas","self.importe([c.imp_op_ex for c in self.listas['comprobantes']])","None"
14,169,183,15,2,"Importe de percepciones o pagos a cuenta de impuestos nacionales","self.importe([c.imp_nac for c in self.listas['comprobantes']])","None"
15,184,198,15,2,"Importe de percepción de Ingresos Brutos","self.importe([c.imp_iibb for c in self.listas['comprobantes']])","None"
16,199,213,15,2,"Importe de Percepción de Impuestos Municipales","self.importe([c.impto_perc_mun for c in self.listas['comprobantes']])","None"
17,214,228,15,2,"Importe de impuestos internos","self.importe([c.imp_internos for c in self.listas['comprobantes']])","None"
18,229,290,62,9,"Relleno","None","None"
