1,1,1,1,2,"Tipo de registro","2","2"
2,2,7,6,2,"Periodo","None","None"
3,8,20,13,9,"Relleno","None","None"
4,21,28,8,2,"Cantidad de registros de tipo 1","None","None"
5,29,45,17,9,"Relleno","None","None"
6,46,56,11,2,"CUIT del informante","None","None"
7,57,78,22,9,"Relleno","None","None"
8,79,93,15,2,"Importe total de la operación","None","None"
9,94,108,15,2,"Importe total de conceptos que no integran el precio neto gravado","None","None"
10,109,123,15,2,"Importe neto gravado","None","None"
11,124,138,15,2,"Impuesto liquidado","None","None"
12,139,153,15,2,"Impuesto liquidado a RNI o percepción a no categorizados","None","None"
13,154,168,15,2,"Importe de operaciones exentas","None","None"
14,169,183,15,2,"Importe de percepciones o pagos a cuenta de impuestos nacionales","None","None"
15,184,198,15,2,"Importe de percepción de Ingresos Brutos","None","None"
16,199,213,15,2,"Importe de Percepción de Impuestos Municipales","None","None"
17,214,228,15,2,"Importe de impuestos internos","None","None"
18,229,290,62,9,"Relleno","None","None"
